"No.","Time","Source","Destination","Protocol","Length","Info"
"65","0.336178000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"66","0.341513000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"67","0.347005000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"68","0.352172000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"69","0.357631000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"70","0.363039000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"71","0.368207000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"72","0.373651000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"73","0.378843000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"74","0.384201000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"75","0.389569000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"76","0.394868000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"77","0.400221000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"78","0.405521000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"79","0.410876000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"80","0.416202000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"81","0.421473000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"82","0.427019000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"83","0.432202000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"84","0.437547000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"85","0.444535000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"86","0.448103000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"87","0.455166000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"88","0.458705000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"89","0.464040000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"90","0.469445000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"91","0.474685000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"92","0.480035000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"93","0.485382000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"94","0.490685000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"95","0.496016000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"96","0.501352000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"97","0.506805000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"98","0.512018000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"99","0.517479000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"100","0.522685000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"101","0.528059000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"102","0.533354000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"103","0.538685000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"104","0.544682000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"105","0.549424000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"106","0.554674000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"107","0.560026000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"108","0.565360000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"109","0.570692000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"110","0.576006000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"111","0.581375000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"112","0.586839000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"113","0.592033000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"114","0.597446000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"115","0.602696000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"116","0.608041000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"117","0.613347000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"118","0.618739000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"119","0.624054000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"120","0.629429000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"121","0.634708000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"122","0.640064000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"123","0.645349000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"124","0.650683000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"125","0.656055000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"126","0.661287000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"127","0.666771000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"128","0.671998000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"129","0.677451000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"130","0.682684000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"131","0.688074000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"132","0.693390000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"133","0.698724000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"134","0.704054000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"135","0.709457000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"136","0.714701000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"137","0.720080000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"138","0.725353000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"139","0.730698000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"140","0.736131000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"141","0.741345000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"142","0.746776000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"143","0.752327000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"144","0.757461000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"145","0.762675000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"146","0.768049000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"147","0.773360000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"148","0.778714000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"149","0.779243000","192.168.0.12","192.168.0.255","NBNS","92","Name query NB PKI.GOOGLE.COM<00>"
"150","0.784026000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"151","0.789443000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"152","0.794758000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"153","0.800369000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"154","0.805343000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"155","0.810678000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"156","0.816108000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"157","0.821350000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"158","0.826867000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"159","0.832030000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"160","0.837481000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"161","0.842696000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"162","0.848048000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"163","0.853412000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"164","0.858704000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"165","0.864014000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"166","0.869438000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"167","0.874732000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"168","0.880056000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"169","0.885361000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"170","0.890693000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"171","0.896111000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
"172","0.901358000","192.168.0.11","192.168.0.12","UDP","570","Source port: 34814  Destination port: 1234"
